id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
35643,Male,Loyal Customer,24,Personal Travel,Business,2586,3,4,3,2,3,4,4,4,4,4,5,4,4,4,14,0.0,neutral or dissatisfied
57081,Male,Loyal Customer,50,Business travel,Business,1222,4,4,4,4,5,4,4,4,4,4,4,4,4,4,0,0.0,satisfied
2606,Female,Loyal Customer,65,Personal Travel,Eco,280,3,4,4,1,5,5,5,4,4,4,4,4,4,3,0,6.0,neutral or dissatisfied
121898,Male,Loyal Customer,62,Personal Travel,Eco,366,3,4,4,5,4,4,1,4,5,2,4,5,4,4,0,0.0,neutral or dissatisfied
77320,Female,disloyal Customer,39,Business travel,Business,590,3,3,3,2,5,3,3,5,3,5,5,3,5,5,0,3.0,neutral or dissatisfied
99800,Female,Loyal Customer,38,Business travel,Business,584,1,4,4,4,1,4,4,1,1,1,1,4,1,1,54,49.0,neutral or dissatisfied
22837,Female,Loyal Customer,33,Business travel,Business,2691,3,1,1,1,3,3,3,1,1,3,4,3,1,3,135,128.0,neutral or dissatisfied
23484,Female,Loyal Customer,45,Personal Travel,Eco,516,3,4,3,3,3,5,2,5,5,3,5,2,5,2,102,95.0,neutral or dissatisfied
42008,Male,Loyal Customer,36,Business travel,Eco,106,5,2,1,2,5,5,5,5,4,4,5,2,3,5,0,0.0,satisfied
37170,Male,Loyal Customer,12,Personal Travel,Eco,1046,2,5,2,2,5,2,5,5,4,5,4,5,4,5,37,24.0,neutral or dissatisfied
116432,Male,Loyal Customer,58,Personal Travel,Eco,372,3,1,3,3,3,3,3,3,4,5,3,4,4,3,27,22.0,neutral or dissatisfied
119762,Male,Loyal Customer,19,Personal Travel,Eco Plus,1325,1,4,1,4,1,1,1,1,4,5,3,4,3,1,0,8.0,neutral or dissatisfied
95615,Female,disloyal Customer,24,Business travel,Eco,822,4,4,4,5,1,4,1,1,3,4,5,5,5,1,0,0.0,satisfied
128563,Male,Loyal Customer,16,Personal Travel,Eco Plus,304,3,1,0,4,4,0,1,4,2,1,4,1,4,4,80,69.0,neutral or dissatisfied
61833,Male,disloyal Customer,44,Business travel,Business,1303,3,3,3,5,2,3,3,2,5,4,4,5,5,2,0,0.0,neutral or dissatisfied
88826,Male,Loyal Customer,34,Business travel,Eco Plus,406,2,1,1,1,2,2,2,2,4,3,4,4,4,2,34,26.0,neutral or dissatisfied
25385,Female,Loyal Customer,48,Personal Travel,Eco,591,4,1,4,1,3,1,1,2,2,4,2,1,2,1,1,0.0,neutral or dissatisfied
119852,Female,disloyal Customer,21,Business travel,Eco,912,0,1,1,1,4,1,4,4,3,2,2,5,4,4,0,0.0,satisfied
95632,Male,Loyal Customer,67,Personal Travel,Eco,756,3,5,3,2,3,3,3,3,5,2,4,4,5,3,0,0.0,neutral or dissatisfied
22354,Female,Loyal Customer,31,Business travel,Business,3876,2,2,2,2,4,4,5,4,1,2,5,2,4,4,0,0.0,satisfied
66071,Female,Loyal Customer,69,Personal Travel,Eco,1055,2,5,2,1,3,4,5,2,2,2,2,5,2,3,29,17.0,neutral or dissatisfied
67854,Male,Loyal Customer,67,Personal Travel,Eco,1188,3,3,3,1,5,3,1,5,2,1,5,1,4,5,14,6.0,neutral or dissatisfied
51469,Male,Loyal Customer,68,Business travel,Eco Plus,190,3,3,3,3,3,3,3,3,2,3,4,3,3,3,0,10.0,neutral or dissatisfied
3873,Male,Loyal Customer,31,Business travel,Business,2305,3,3,3,3,5,4,5,5,4,2,4,4,5,5,0,0.0,satisfied
31261,Male,Loyal Customer,44,Business travel,Business,2299,3,3,3,3,4,4,4,2,4,1,1,4,1,4,163,181.0,satisfied
128519,Female,Loyal Customer,9,Personal Travel,Eco,646,1,5,1,1,2,1,3,2,1,1,2,1,2,2,0,2.0,neutral or dissatisfied
73484,Male,Loyal Customer,49,Personal Travel,Eco,1012,2,1,2,3,3,2,3,3,3,2,2,2,2,3,0,0.0,neutral or dissatisfied
60668,Male,Loyal Customer,10,Personal Travel,Eco,1620,3,5,3,3,1,3,1,1,3,3,4,5,5,1,18,7.0,neutral or dissatisfied
43176,Female,disloyal Customer,25,Business travel,Eco Plus,781,3,0,3,2,2,3,2,2,3,1,4,5,3,2,2,0.0,neutral or dissatisfied
239,Male,Loyal Customer,44,Business travel,Business,719,3,3,3,3,3,5,5,4,4,4,4,5,4,3,2,11.0,satisfied
30723,Male,Loyal Customer,50,Business travel,Business,2499,2,2,2,2,2,3,3,3,5,4,5,3,4,3,160,164.0,satisfied
92681,Female,Loyal Customer,40,Business travel,Business,507,1,4,4,4,2,4,3,1,1,2,1,1,1,1,0,0.0,neutral or dissatisfied
123475,Male,Loyal Customer,44,Business travel,Business,2296,5,5,1,5,2,4,4,4,4,4,4,4,4,4,0,0.0,satisfied
82968,Male,Loyal Customer,50,Business travel,Business,1127,2,2,2,2,2,4,4,2,2,3,2,5,2,5,0,0.0,satisfied
96568,Female,Loyal Customer,34,Business travel,Business,333,4,4,4,4,2,5,4,4,4,4,4,3,4,5,41,31.0,satisfied
15227,Male,Loyal Customer,52,Business travel,Business,445,3,4,4,4,2,2,3,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
43865,Male,disloyal Customer,48,Business travel,Eco,174,4,4,5,2,4,5,4,4,1,3,3,3,5,4,0,0.0,neutral or dissatisfied
59935,Female,Loyal Customer,51,Business travel,Business,937,4,2,2,2,1,3,4,4,4,4,4,3,4,3,0,0.0,neutral or dissatisfied
43954,Male,Loyal Customer,51,Personal Travel,Eco,408,0,5,0,1,4,0,1,4,2,1,1,1,4,4,10,38.0,satisfied
104542,Female,Loyal Customer,34,Personal Travel,Eco,1047,2,5,2,4,5,2,5,5,3,4,5,4,4,5,0,0.0,neutral or dissatisfied
27703,Female,Loyal Customer,54,Personal Travel,Eco Plus,1107,4,1,4,4,5,3,4,4,4,4,5,1,4,1,0,0.0,satisfied
86265,Male,Loyal Customer,56,Personal Travel,Eco,356,1,4,2,4,2,2,4,2,2,1,4,3,5,2,0,21.0,neutral or dissatisfied
27184,Male,Loyal Customer,52,Personal Travel,Eco,2677,2,5,2,5,2,2,2,4,4,3,1,2,3,2,0,21.0,neutral or dissatisfied
11156,Male,Loyal Customer,31,Personal Travel,Eco,247,1,5,0,3,1,0,1,1,3,3,5,3,5,1,0,0.0,neutral or dissatisfied
48430,Male,Loyal Customer,26,Business travel,Business,833,3,3,3,3,4,4,4,4,1,4,3,2,2,4,0,0.0,satisfied
11472,Female,Loyal Customer,39,Business travel,Eco Plus,316,2,1,1,1,2,2,2,2,2,2,3,1,4,2,0,0.0,neutral or dissatisfied
3352,Male,Loyal Customer,57,Business travel,Business,3157,0,0,0,4,5,5,5,3,3,3,3,5,3,3,0,0.0,satisfied
59001,Female,disloyal Customer,40,Business travel,Business,908,5,5,5,2,3,5,2,3,5,5,4,3,4,3,12,28.0,satisfied
83235,Female,Loyal Customer,51,Business travel,Business,1979,4,4,3,4,2,5,5,4,4,4,4,5,4,4,0,0.0,satisfied
105162,Male,disloyal Customer,30,Business travel,Business,220,1,1,1,3,3,1,3,3,4,1,3,2,4,3,0,0.0,neutral or dissatisfied
87593,Male,Loyal Customer,28,Personal Travel,Eco,432,4,1,4,2,4,4,4,4,2,5,2,3,2,4,0,0.0,satisfied
17366,Female,Loyal Customer,32,Personal Travel,Eco,563,2,4,2,1,3,2,2,3,4,5,5,5,3,3,9,3.0,neutral or dissatisfied
53765,Male,Loyal Customer,40,Business travel,Business,1195,3,3,3,3,2,3,4,3,3,2,3,4,3,3,64,50.0,neutral or dissatisfied
54794,Male,Loyal Customer,29,Personal Travel,Business,775,1,1,1,4,2,1,1,2,4,2,3,1,4,2,0,30.0,neutral or dissatisfied
65136,Female,Loyal Customer,7,Personal Travel,Eco,469,3,3,3,4,4,3,4,4,4,2,2,3,1,4,14,11.0,neutral or dissatisfied
28005,Male,Loyal Customer,25,Business travel,Business,2239,2,2,2,2,5,5,5,5,5,2,3,1,5,5,0,0.0,satisfied
62221,Female,Loyal Customer,22,Personal Travel,Eco,2565,3,3,3,3,4,3,4,4,3,1,4,1,2,4,0,0.0,neutral or dissatisfied
104810,Female,Loyal Customer,11,Personal Travel,Eco,587,1,4,1,1,5,1,5,5,4,2,4,5,5,5,0,4.0,neutral or dissatisfied
5836,Male,Loyal Customer,42,Business travel,Eco Plus,157,2,5,4,5,2,2,2,2,3,4,3,2,4,2,0,0.0,neutral or dissatisfied
53917,Male,Loyal Customer,24,Business travel,Eco Plus,224,5,5,5,5,5,5,4,5,2,2,3,5,4,5,0,0.0,satisfied
66149,Male,Loyal Customer,17,Personal Travel,Eco Plus,583,1,3,1,4,4,1,4,4,3,4,2,5,2,4,20,14.0,neutral or dissatisfied
6438,Male,Loyal Customer,67,Personal Travel,Eco,315,3,4,3,4,5,3,5,5,1,3,4,3,4,5,6,0.0,neutral or dissatisfied
57043,Male,disloyal Customer,28,Business travel,Business,2133,2,2,2,3,1,2,1,1,5,2,5,5,5,1,26,41.0,neutral or dissatisfied
87900,Male,disloyal Customer,26,Business travel,Business,594,2,2,2,1,4,2,3,4,5,5,4,5,5,4,0,0.0,neutral or dissatisfied
39788,Male,Loyal Customer,52,Business travel,Business,3930,2,2,2,2,2,3,3,2,2,2,2,3,2,1,0,0.0,neutral or dissatisfied
56405,Female,Loyal Customer,47,Business travel,Business,3919,3,4,3,3,5,5,4,5,5,5,5,3,5,4,0,9.0,satisfied
64257,Female,Loyal Customer,17,Personal Travel,Eco,1660,1,4,1,4,3,1,4,3,4,3,5,4,5,3,2,6.0,neutral or dissatisfied
79921,Male,disloyal Customer,21,Business travel,Eco,950,2,3,3,5,3,3,3,3,3,4,5,3,4,3,0,0.0,neutral or dissatisfied
36783,Female,disloyal Customer,15,Business travel,Eco,2602,3,3,3,4,3,4,4,4,5,4,4,4,4,4,26,17.0,neutral or dissatisfied
67889,Male,Loyal Customer,20,Personal Travel,Eco,1205,5,2,5,3,1,2,1,1,1,4,4,2,4,1,0,0.0,satisfied
128016,Female,Loyal Customer,51,Personal Travel,Business,1440,2,4,2,4,2,2,2,5,2,3,4,2,4,2,194,186.0,neutral or dissatisfied
30912,Male,Loyal Customer,17,Business travel,Business,896,1,1,1,1,4,4,4,4,3,2,4,4,3,4,0,2.0,satisfied
125073,Male,disloyal Customer,37,Business travel,Business,361,1,1,1,5,4,1,1,4,5,4,5,4,5,4,0,0.0,neutral or dissatisfied
114543,Male,Loyal Customer,21,Personal Travel,Business,447,1,4,1,5,5,1,5,5,4,2,4,3,5,5,86,66.0,neutral or dissatisfied
113875,Male,Loyal Customer,57,Personal Travel,Eco,1592,2,4,2,3,2,2,2,2,5,2,4,5,4,2,3,0.0,neutral or dissatisfied
73982,Female,Loyal Customer,46,Business travel,Business,2330,2,2,2,2,3,3,4,5,5,4,5,5,5,5,0,28.0,satisfied
122406,Male,Loyal Customer,14,Personal Travel,Eco Plus,529,1,4,1,3,1,1,1,1,3,4,5,4,5,1,12,3.0,neutral or dissatisfied
101721,Male,Loyal Customer,9,Personal Travel,Eco,986,3,4,3,4,3,3,3,3,5,4,4,3,5,3,14,2.0,neutral or dissatisfied
115190,Female,Loyal Customer,48,Business travel,Business,3183,2,2,3,2,3,5,4,5,5,5,5,3,5,4,8,0.0,satisfied
94985,Male,Loyal Customer,34,Personal Travel,Eco,239,3,5,0,3,2,0,2,2,5,4,4,3,5,2,4,5.0,neutral or dissatisfied
113630,Male,Loyal Customer,39,Personal Travel,Eco,258,2,3,2,1,4,2,4,4,2,5,2,2,4,4,0,0.0,neutral or dissatisfied
88323,Male,disloyal Customer,21,Business travel,Eco,594,3,3,3,3,5,3,5,5,4,5,2,3,2,5,0,0.0,neutral or dissatisfied
32191,Male,disloyal Customer,36,Business travel,Eco,102,4,3,4,4,5,4,3,5,5,4,4,1,4,5,0,0.0,neutral or dissatisfied
96194,Male,Loyal Customer,55,Business travel,Business,328,2,2,2,2,2,4,4,4,4,4,4,3,4,3,0,0.0,satisfied
99289,Female,Loyal Customer,8,Personal Travel,Eco,833,3,4,3,2,4,3,4,4,3,4,5,3,4,4,0,12.0,neutral or dissatisfied
72370,Female,Loyal Customer,59,Business travel,Business,2592,5,5,5,5,2,4,4,5,5,4,5,4,5,4,3,7.0,satisfied
5955,Male,Loyal Customer,50,Business travel,Business,1250,4,4,4,4,5,3,4,4,4,4,4,3,4,1,0,48.0,neutral or dissatisfied
122736,Male,Loyal Customer,53,Business travel,Business,1567,3,4,3,3,5,4,5,5,5,5,5,5,5,5,0,0.0,satisfied
41444,Female,Loyal Customer,19,Personal Travel,Eco Plus,913,1,5,1,3,5,1,5,5,5,3,5,4,5,5,5,0.0,neutral or dissatisfied
106752,Female,Loyal Customer,37,Business travel,Business,545,2,5,5,5,3,3,3,2,2,2,2,4,2,3,9,0.0,neutral or dissatisfied
50891,Male,Loyal Customer,60,Personal Travel,Eco,250,5,5,5,4,4,5,4,4,5,2,5,3,5,4,19,3.0,satisfied
70823,Female,Loyal Customer,61,Business travel,Eco Plus,624,3,3,3,3,1,2,3,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
99332,Female,Loyal Customer,22,Personal Travel,Eco,337,2,5,2,5,2,1,1,5,5,1,1,1,5,1,148,229.0,neutral or dissatisfied
24933,Male,Loyal Customer,34,Business travel,Business,2106,1,2,1,1,4,5,4,4,4,4,4,1,4,3,6,0.0,satisfied
50578,Female,Loyal Customer,40,Personal Travel,Eco,209,1,4,1,5,2,1,2,2,2,4,5,2,5,2,0,3.0,neutral or dissatisfied
6105,Male,disloyal Customer,24,Business travel,Eco,409,5,0,5,4,3,5,3,3,3,2,5,5,5,3,0,0.0,satisfied
37358,Female,disloyal Customer,22,Business travel,Eco,1118,5,5,5,1,3,5,3,3,2,2,5,3,4,3,17,26.0,satisfied
53204,Male,Loyal Customer,50,Business travel,Business,612,3,2,2,2,5,4,3,3,3,3,3,4,3,2,0,0.0,neutral or dissatisfied
61795,Male,Loyal Customer,13,Personal Travel,Eco,1303,1,4,1,3,5,1,5,5,2,2,4,3,3,5,0,0.0,neutral or dissatisfied
97422,Male,Loyal Customer,28,Personal Travel,Eco,587,4,4,3,2,2,3,2,2,5,5,4,3,4,2,1,0.0,neutral or dissatisfied
49960,Female,disloyal Customer,36,Business travel,Eco,326,3,1,3,4,3,3,4,3,4,4,3,4,3,3,13,49.0,neutral or dissatisfied
23401,Female,Loyal Customer,15,Personal Travel,Eco,300,3,3,3,4,1,3,1,1,4,2,3,1,3,1,19,30.0,neutral or dissatisfied
123065,Female,disloyal Customer,45,Business travel,Eco,650,2,1,2,3,5,2,5,5,3,2,3,4,2,5,70,97.0,neutral or dissatisfied
92951,Female,Loyal Customer,36,Business travel,Business,134,4,4,4,4,4,5,4,4,4,4,5,3,4,3,23,22.0,satisfied
109542,Female,Loyal Customer,63,Personal Travel,Eco,861,3,4,4,2,3,4,5,3,3,4,3,3,3,3,6,7.0,neutral or dissatisfied
59776,Female,Loyal Customer,36,Business travel,Eco,495,5,2,2,2,4,5,5,1,4,4,3,5,3,5,266,266.0,neutral or dissatisfied
3665,Male,Loyal Customer,51,Business travel,Business,431,1,1,1,1,2,4,4,4,4,4,4,4,4,5,0,1.0,satisfied
58218,Male,Loyal Customer,7,Personal Travel,Eco,925,2,5,2,1,3,2,3,3,5,4,2,1,4,3,0,1.0,neutral or dissatisfied
17547,Female,Loyal Customer,30,Business travel,Business,970,4,4,4,4,4,4,4,4,2,5,1,5,1,4,9,0.0,satisfied
41415,Female,Loyal Customer,53,Personal Travel,Eco,563,0,4,0,2,5,4,5,2,2,0,2,4,2,5,0,0.0,satisfied
86879,Female,Loyal Customer,36,Personal Travel,Eco Plus,692,1,5,1,3,1,3,3,4,4,4,5,3,4,3,163,142.0,neutral or dissatisfied
47758,Female,Loyal Customer,38,Business travel,Business,451,3,3,3,3,2,4,5,5,5,5,5,5,5,3,21,11.0,satisfied
60377,Male,disloyal Customer,40,Business travel,Business,1476,4,4,4,3,5,4,5,5,3,4,4,4,5,5,0,1.0,satisfied
58499,Male,Loyal Customer,34,Business travel,Business,719,2,3,3,3,1,2,3,2,2,2,2,1,2,4,1,0.0,neutral or dissatisfied
77468,Female,Loyal Customer,53,Personal Travel,Eco,507,1,3,1,4,3,3,3,1,1,1,2,4,1,5,0,0.0,neutral or dissatisfied
62101,Male,Loyal Customer,23,Personal Travel,Business,2454,3,4,3,3,4,3,4,4,5,5,2,4,1,4,0,0.0,neutral or dissatisfied
73815,Female,Loyal Customer,58,Personal Travel,Eco Plus,204,2,3,2,4,1,3,1,4,4,2,4,4,4,1,0,0.0,neutral or dissatisfied
21796,Male,Loyal Customer,34,Business travel,Business,2506,2,4,4,4,2,4,4,2,2,2,2,4,2,2,0,0.0,neutral or dissatisfied
30105,Male,Loyal Customer,67,Personal Travel,Eco,183,3,4,3,3,5,3,5,5,5,4,4,3,4,5,21,16.0,neutral or dissatisfied
100092,Male,Loyal Customer,53,Business travel,Business,2569,5,5,5,5,2,4,5,4,4,5,4,4,4,3,61,69.0,satisfied
13209,Male,Loyal Customer,25,Business travel,Business,2382,5,5,5,5,4,4,4,5,2,5,5,4,4,4,231,218.0,satisfied
83058,Male,disloyal Customer,47,Business travel,Business,957,5,5,5,1,2,5,2,2,5,5,5,4,4,2,0,3.0,satisfied
29872,Female,Loyal Customer,37,Business travel,Business,3011,0,1,1,3,2,3,1,3,3,1,1,4,3,5,28,25.0,satisfied
58461,Male,Loyal Customer,30,Business travel,Eco Plus,733,2,1,3,1,2,2,2,2,2,4,4,4,4,2,0,0.0,neutral or dissatisfied
128561,Male,Loyal Customer,55,Personal Travel,Eco Plus,325,3,4,3,3,4,3,4,4,4,4,4,4,3,4,0,0.0,neutral or dissatisfied
73572,Male,Loyal Customer,42,Business travel,Business,2476,3,3,3,3,3,5,4,4,4,4,4,3,4,5,27,44.0,satisfied
20851,Male,Loyal Customer,63,Personal Travel,Eco,515,4,4,3,3,1,3,1,1,5,4,5,4,5,1,0,0.0,neutral or dissatisfied
74265,Female,disloyal Customer,29,Business travel,Eco,748,2,2,2,4,4,2,4,4,3,3,4,2,4,4,35,35.0,neutral or dissatisfied
89690,Male,Loyal Customer,51,Business travel,Business,3925,2,5,5,5,3,1,1,2,2,3,2,3,2,2,0,0.0,neutral or dissatisfied
73437,Male,Loyal Customer,70,Personal Travel,Eco,1197,4,5,4,2,3,4,3,3,3,5,4,3,4,3,0,1.0,neutral or dissatisfied
105188,Male,Loyal Customer,63,Personal Travel,Eco,220,1,4,1,4,4,1,4,4,1,3,4,3,3,4,25,44.0,neutral or dissatisfied
19275,Female,Loyal Customer,30,Business travel,Business,2321,3,3,3,3,5,5,5,5,2,1,4,1,1,5,2,0.0,satisfied
59176,Male,Loyal Customer,14,Personal Travel,Eco Plus,1744,3,4,3,2,2,3,2,2,3,5,4,3,5,2,72,80.0,neutral or dissatisfied
95928,Male,Loyal Customer,43,Business travel,Business,1500,2,2,2,2,1,3,4,4,4,4,4,5,4,3,18,2.0,satisfied
64315,Male,Loyal Customer,45,Business travel,Business,1554,3,5,5,5,2,4,4,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
121430,Male,disloyal Customer,21,Business travel,Eco,331,2,5,2,2,1,2,1,1,4,4,5,4,4,1,0,0.0,neutral or dissatisfied
31676,Female,Loyal Customer,43,Business travel,Business,3547,2,3,3,3,4,4,3,2,2,2,2,2,2,2,0,0.0,neutral or dissatisfied
46097,Female,Loyal Customer,14,Personal Travel,Eco Plus,541,4,4,4,1,5,4,5,5,3,5,4,4,4,5,0,20.0,neutral or dissatisfied
33434,Female,disloyal Customer,23,Business travel,Eco,2399,4,4,4,2,2,4,2,2,2,1,4,1,4,2,0,3.0,neutral or dissatisfied
58689,Male,Loyal Customer,53,Business travel,Business,299,5,5,5,5,5,5,4,4,4,4,4,5,4,3,0,6.0,satisfied
115535,Male,Loyal Customer,23,Business travel,Business,1819,3,2,2,2,3,3,3,3,1,4,4,4,4,3,19,19.0,neutral or dissatisfied
92163,Female,Loyal Customer,59,Personal Travel,Business,1979,2,1,2,3,2,4,3,2,2,2,3,3,2,3,0,0.0,neutral or dissatisfied
52165,Male,Loyal Customer,37,Business travel,Eco,509,4,2,2,2,4,4,4,4,4,2,4,5,1,4,0,3.0,satisfied
31127,Female,disloyal Customer,21,Business travel,Eco,991,3,3,3,4,4,3,5,4,4,4,4,2,3,4,4,0.0,neutral or dissatisfied
1248,Female,Loyal Customer,29,Personal Travel,Eco,89,4,4,4,1,2,4,2,2,5,2,4,3,5,2,29,24.0,neutral or dissatisfied
106245,Male,disloyal Customer,21,Business travel,Eco,1167,2,2,2,3,5,2,5,5,4,4,4,5,4,5,0,0.0,satisfied
125566,Female,Loyal Customer,9,Personal Travel,Eco,226,2,5,0,3,3,0,3,3,4,3,5,4,4,3,0,0.0,neutral or dissatisfied
84886,Female,Loyal Customer,10,Personal Travel,Eco,516,4,4,4,1,5,4,5,5,4,2,5,4,4,5,0,0.0,neutral or dissatisfied
101983,Male,Loyal Customer,45,Personal Travel,Eco,628,1,5,1,1,1,1,1,1,5,4,5,3,5,1,7,0.0,neutral or dissatisfied
98833,Male,Loyal Customer,12,Personal Travel,Eco,763,2,2,2,3,1,2,2,1,1,2,3,2,4,1,57,35.0,neutral or dissatisfied
8579,Male,Loyal Customer,46,Business travel,Eco,308,1,0,0,4,1,4,4,3,4,4,3,4,3,4,179,166.0,neutral or dissatisfied
57986,Male,Loyal Customer,13,Personal Travel,Eco,589,5,4,5,1,5,5,5,5,5,5,4,3,4,5,14,0.0,satisfied
77832,Male,Loyal Customer,19,Personal Travel,Eco,874,4,3,4,4,2,4,2,2,4,2,4,1,4,2,29,16.0,neutral or dissatisfied
54477,Male,Loyal Customer,40,Business travel,Business,3253,5,5,5,5,4,2,5,3,3,4,3,4,3,1,2,0.0,satisfied
15067,Female,Loyal Customer,7,Personal Travel,Eco,576,4,4,4,4,4,4,4,4,5,2,4,4,5,4,0,0.0,neutral or dissatisfied
88735,Male,Loyal Customer,59,Personal Travel,Eco,581,4,4,4,1,4,4,4,4,3,3,5,4,4,4,0,0.0,neutral or dissatisfied
55768,Male,Loyal Customer,28,Personal Travel,Business,599,2,3,3,5,4,3,4,4,4,2,2,3,3,4,35,26.0,neutral or dissatisfied
19146,Male,disloyal Customer,35,Business travel,Business,304,1,1,1,3,3,1,3,3,4,3,3,4,4,3,0,0.0,neutral or dissatisfied
67509,Male,Loyal Customer,35,Business travel,Business,1683,3,3,1,3,4,4,5,5,5,5,5,4,5,5,0,0.0,satisfied
73345,Female,Loyal Customer,48,Business travel,Business,1182,4,4,4,4,3,4,5,5,5,5,5,4,5,3,14,10.0,satisfied
102191,Male,disloyal Customer,21,Business travel,Eco,397,3,2,3,3,2,3,2,2,3,5,4,4,4,2,0,0.0,neutral or dissatisfied
15274,Male,Loyal Customer,52,Business travel,Business,460,1,0,0,4,3,4,4,4,4,0,1,1,4,3,0,0.0,neutral or dissatisfied
4775,Female,Loyal Customer,53,Business travel,Business,403,4,4,4,4,5,5,5,3,2,5,4,5,3,5,20,148.0,satisfied
50890,Male,Loyal Customer,48,Personal Travel,Eco,373,2,1,2,2,5,2,5,5,3,4,2,4,3,5,18,4.0,neutral or dissatisfied
74374,Male,Loyal Customer,38,Business travel,Business,3290,1,1,3,1,4,4,4,5,5,5,5,3,5,4,0,0.0,satisfied
40572,Male,Loyal Customer,36,Business travel,Eco,216,4,5,5,5,4,4,4,4,5,5,2,2,2,4,0,0.0,satisfied
121132,Female,disloyal Customer,40,Business travel,Business,853,5,5,5,3,5,5,5,5,5,5,5,3,5,5,12,0.0,satisfied
123278,Female,Loyal Customer,65,Personal Travel,Eco,507,3,1,3,4,5,4,4,4,4,3,2,4,4,3,0,0.0,neutral or dissatisfied
99542,Female,disloyal Customer,26,Business travel,Business,802,0,0,0,1,2,0,2,2,4,4,5,5,4,2,0,0.0,satisfied
14607,Male,Loyal Customer,30,Business travel,Business,448,2,2,2,2,5,5,5,5,4,4,4,5,4,5,90,97.0,satisfied
68264,Female,Loyal Customer,68,Personal Travel,Eco,631,3,4,3,5,4,4,5,2,2,3,2,5,2,4,0,5.0,neutral or dissatisfied
116874,Female,Loyal Customer,57,Business travel,Business,1768,0,0,0,2,4,4,4,4,4,4,4,3,4,4,8,0.0,satisfied
60980,Male,Loyal Customer,7,Personal Travel,Eco,888,2,3,2,1,2,2,2,2,5,1,4,4,3,2,0,18.0,neutral or dissatisfied
17706,Male,disloyal Customer,20,Business travel,Eco,311,4,3,4,4,2,4,5,2,3,4,4,1,3,2,6,9.0,neutral or dissatisfied
15233,Female,Loyal Customer,52,Business travel,Business,2537,3,5,5,5,2,4,3,3,3,3,3,4,3,4,0,0.0,neutral or dissatisfied
96096,Male,Loyal Customer,24,Personal Travel,Eco,583,2,4,2,1,3,2,3,3,3,3,5,4,5,3,70,72.0,neutral or dissatisfied
36732,Male,Loyal Customer,44,Business travel,Business,1754,4,4,4,4,3,5,4,5,5,5,5,4,5,2,0,29.0,satisfied
